#,bet_time_utc,stake_usd,payout_usd,result
1,2026-05-15 01:38:33.278000,100000.00,0.00,LOSS
2,2026-05-15 01:41:11.350000,180000.00,0.00,LOSS
3,2026-05-15 01:41:17.871000,50000.00,0.00,LOSS
4,2026-05-15 01:41:23.061000,20000.00,0.00,LOSS
5,2026-05-15 01:43:01.031000,100000.00,0.00,LOSS
6,2026-05-15 01:43:05.063000,23333.00,0.00,LOSS
7,2026-05-15 01:43:10.791000,16599.85,0.00,LOSS
8,2026-05-15 01:43:33.222000,133333.00,0.00,LOSS
9,2026-05-15 01:43:37.562000,26666.00,0.00,LOSS
10,2026-05-15 01:43:42.743000,9907.00,0.00,LOSS
11,2026-05-15 01:44:04.771000,222222.00,0.00,LOSS
12,2026-05-15 01:44:08.208000,50000.00,0.00,LOSS
13,2026-05-15 01:44:15.342000,27778.00,0.00,LOSS
14,2026-05-15 01:44:42.007000,233333.00,0.00,LOSS
15,2026-05-15 01:44:44.751000,66667.24,0.00,LOSS
16,2026-05-15 01:50:41.607000,200000.00,0.00,LOSS
17,2026-05-15 01:50:44.552000,70000.00,0.00,LOSS
18,2026-05-15 01:50:47.066000,30000.00,0.00,LOSS
19,2026-05-15 13:55:32.004000,100000.00,0.00,LOSS
20,2026-05-15 13:55:35.355000,20000.00,0.00,LOSS
21,2026-05-15 13:55:37.237000,10080.15,0.00,LOSS
22,2026-05-16 14:37:09.128000,233333.00,0.00,LOSS
23,2026-05-16 14:37:14.504000,26108.40,0.00,LOSS
24,2026-05-16 14:37:20.479000,40000.00,0.00,LOSS
25,2026-05-16 14:37:48.560000,600000.00,0.00,LOSS
26,2026-05-16 14:37:52.430000,70000.00,0.00,LOSS
27,2026-05-16 14:37:54.600000,30000.00,0.00,LOSS
28,2026-05-16 14:39:32.362000,500000.00,0.00,LOSS
29,2026-05-16 14:39:35.701000,70000.00,0.00,LOSS
30,2026-05-16 14:39:41.085000,27992.93,0.00,LOSS
31,2026-05-16 14:40:00.236000,800000.00,0.00,LOSS
32,2026-05-16 14:40:04.128000,150000.00,0.00,LOSS
33,2026-05-16 14:40:06.042000,50000.00,0.00,LOSS
34,2026-05-16 14:41:42.883000,700000.00,0.00,LOSS
35,2026-05-16 14:41:47.516000,100000.00,0.00,LOSS
36,2026-05-16 14:41:53.444000,36000.00,0.00,LOSS
37,2026-05-16 14:42:13.031000,700000.00,0.00,LOSS
38,2026-05-16 14:42:15.898000,70000.00,0.00,LOSS
39,2026-05-16 14:42:18.269000,30526.08,0.00,LOSS
40,2026-05-16 14:43:51.364000,900000.00,0.00,LOSS
41,2026-05-16 14:43:55.393000,160000.00,0.00,LOSS
42,2026-05-16 14:43:58.574000,40000.00,0.00,LOSS
43,2026-05-16 14:44:00.276000,24494.29,0.00,LOSS
44,2026-05-16 14:45:31.028000,150000.00,0.00,LOSS
45,2026-05-16 14:45:35.998000,40000.00,0.00,LOSS
46,2026-05-16 14:45:37.223000,9910.10,0.00,LOSS
47,2026-05-16 14:46:47.828000,760000.00,0.00,LOSS
48,2026-05-16 14:46:51.410000,100000.00,0.00,LOSS
49,2026-05-16 14:46:53.023000,39595.43,0.00,LOSS
50,2026-05-16 14:48:17.159000,150000.00,0.00,LOSS
51,2026-05-16 14:48:20.059000,50000.00,0.00,LOSS
52,2026-05-16 14:48:23.677000,24898.86,0.00,LOSS
53,2026-05-16 14:50:35.710000,800000.00,0.00,LOSS
54,2026-05-16 14:50:38.960000,100000.00,0.00,LOSS
55,2026-05-16 14:50:41.853000,70000.00,0.00,LOSS
56,2026-05-16 14:50:43.925000,29550.47,0.00,LOSS
57,2026-05-16 14:51:43.511000,150000.00,900000.00,WIN
58,2026-05-16 14:51:46.697000,70000.00,0.00,LOSS
59,2026-05-16 14:51:48.424000,29887.62,0.00,LOSS
60,2026-05-16 14:52:14.537000,800000.00,0.00,LOSS
61,2026-05-16 14:52:17.020000,70000.00,0.00,LOSS
62,2026-05-16 14:52:18.809000,30108.94,0.00,LOSS
