#,time_utc,support_id,bet_amount_usd,multiplier,gross_payout_usd,bet_link
1,2026-05-15T01:38:33.278Z,1131946941,100000,,0,https://winna.com/?betId=fdcedeb7-c2ab-4300-9e31-214978632a4f
2,2026-05-15T01:41:11.350Z,1131951890,180000,,0,https://winna.com/?betId=e15860a0-a7c8-433e-af05-bbdc607d9892
3,2026-05-15T01:41:17.871Z,1131952091,50000,,0,https://winna.com/?betId=f6f1f1ac-fc9f-4b8a-9f78-62478fe5401f
4,2026-05-15T01:41:23.061Z,1131952243,20000,,0,https://winna.com/?betId=d049e003-7bd1-43dc-9b9b-de40e912e4e4
5,2026-05-15T01:43:01.031Z,1131954148,100000,,0,https://winna.com/?betId=5597c80b-100c-4022-a383-2c3c0593bb08
6,2026-05-15T01:43:05.063Z,1131954232,23333,,0,https://winna.com/?betId=6b7dd48b-ec11-40f8-bc1b-57e66fd93cca
7,2026-05-15T01:43:10.791Z,1131954367,16599.85,,0,https://winna.com/?betId=afa6e889-2f4a-47f9-bc29-352511f3d57b
8,2026-05-15T01:43:33.222Z,1131954879,133333,,0,https://winna.com/?betId=d44f502b-76c9-4d7e-96df-0a7b97484f51
9,2026-05-15T01:43:37.562Z,1131954979,26666,,0,https://winna.com/?betId=92120317-794e-4f8e-a22d-9201203fcf45
10,2026-05-15T01:43:42.743Z,1131955095,9907,,0,https://winna.com/?betId=359057c5-5de0-4995-9a83-064064e264b9
11,2026-05-15T01:44:04.771Z,1131955641,222222,,0,https://winna.com/?betId=6517c445-9982-4b60-bc30-6c762e1ce87a
12,2026-05-15T01:44:08.208Z,1131955728,50000,,0,https://winna.com/?betId=f9fbc9e7-4206-4973-80c6-105c14037d36
13,2026-05-15T01:44:15.342Z,1131955887,27778,,0,https://winna.com/?betId=ecd309c9-9aff-4273-b628-92f1c95bb461
14,2026-05-15T01:44:42.007Z,1131956457,233333,,0,https://winna.com/?betId=7e9b4e07-5438-4046-b2d6-2e2504f0ff69
15,2026-05-15T01:44:44.751Z,1131956513,66667.24,,0,https://winna.com/?betId=af3a53b0-a1ea-4198-a841-5f12146d6ba9
16,2026-05-15T01:50:41.607Z,1131966275,200000,,0,https://winna.com/?betId=a14871a2-fea4-497f-a26e-e9b14efe01a9
17,2026-05-15T01:50:44.552Z,1131966379,70000,,0,https://winna.com/?betId=7102cc31-cab7-43dd-aac9-b5e72eaefc3e
18,2026-05-15T01:50:47.066Z,1131966464,30000,,0,https://winna.com/?betId=151b60ed-6937-4000-b92c-b6ab4e42d954
19,2026-05-15T13:55:32.004Z,1133893240,100000,,0,https://winna.com/?betId=114ecd3f-2a25-42fc-bf76-0aad3082f41b
